n,deck1,deck2,date
1,Yugi,Joey,25/06/2021
2,Neos,MajuBan,25/06/2021
3,Neos,Gardiens,25/06/2021
4,Elfe,Casino,25/06/2021
5,Obelisk,Casino,25/06/2021
6,Zombie,BetesCristallines,25/06/2021
7,Zombie,BetesCristallines,25/06/2021
8,Zombie,BetesCristallines,25/06/2021
9,BetesCristallines,Zombie,25/06/2021
10,Benkei,Slime,26/06/2021
11,GardienDeLaPorte,Slime,26/06/2021
12,Rocher,GardienDeLaPorte,26/06/2021
13,DragonLV,InsectorHaga,26/06/2021
14,Dino,DestinyHero,27/06/2021
15,Dino,DestinyHero,27/06/2021
16,YugiMVP,Gravekeeper,27/06/2021
17,YugiMVP,Gravekeeper,27/06/2021
