n,deck,owner,date,elo,glicko,rd,winrate,ngames,nwins,nloss
17,Dino,Pierre,12/12/2020,1555,1560,85,0.8,5,4,1
1,Defense,William,25/11/2020,1545,1550,87,0.75,4,3,1
6,Mechabot,Pierre,27/11/2020,1540,1558,70,0.6923076923076923,13,9,4
15,BetesSacrees,JRE,27/11/2020,1532,1538,90,0.6666666666666666,3,2,1
5,Kaiju,Pierre,27/11/2020,1521,1525,73,0.5833333333333334,12,7,5
12,YeuxBleus,JRE,27/11/2020,1521,1526,90,0.6666666666666666,3,2,1
7,DragonMeule,William,27/11/2020,1517,1520,77,0.5555555555555556,9,5,4
9,Guerrier,William,27/11/2020,1500,1500,100,,0,0,0
2,Nordique,Pierre,25/11/2020,1492,1492,87,0.5,4,2,2
11,Virus,JRE,27/11/2020,1488,1496,79,0.5,8,4,4
10,Amazonesse,William,27/11/2020,1486,1487,85,0.4,5,2,3
3,MagicienSombre,Pierre,25/11/2020,1477,1502,67,0.5,18,9,9
13,ChaosMAX,JRE,27/11/2020,1474,1469,84,0.4,5,2,3
14,DieuxEgyptiens,JRE,27/11/2020,1463,1494,72,0.46153846153846156,13,6,7
16,Exodia,JRE,28/11/2020,1451,1452,80,0.3333333333333333,6,2,4
8,Zombie,William,27/11/2020,1430,1422,88,0.0,4,0,4
4,Samourai,William,25/11/2020,1409,1406,80,0.125,8,1,7
